he	en
תיקון איות, חלוקה, איחוד	Spelling fix, split, merge
התחלה / סיום כאן	Start / end here
לכתובית הבאה	To the next subtitle
מחיקת המסומנות	Delete selected
סימון קטע לחיתוך	Mark a section to trim
Ctrl+גלגלת	Ctrl+Wheel
זום בציר הזמן	Zoom the timeline
גרירה על הציר	Drag on timeline
יצירת כתובית חדשה	Make a new subtitle
פרויקט חדש	New project
פתיחת קובץ	Open a file
שמירת הכתוביות	Save the subtitles
ביטול פעולה	Undo
העוזר החכם	The smart assistant
יצירת הסרט עם הכתוביות	Make the video
איך עובדים כאן	How it works
ארבעה שלבים, וכל הקיצורים במקום אחד	Four steps, and all the shortcuts in one place
קיצורים ופעולות מהירות	Shortcuts and quick actions

# ---- DlgSettings.cs ----
הגדרות	Settings
נשמר מיד, ונזכר בפעם הבאה	Saved at once, and remembered next time
מראה	Appearance
מצב כהה	Dark mode
שירותים באינטרנט	Online services
המפתח של גוגל	Google key
המפתח של {0}	{0} key
בדיקת איות	Spell check
לסמן מילים שאולי כתובות לא נכון	Mark words that may be misspelled
להוריד את המילון ({0}, פעם אחת)	Download the dictionary ({0}, once)
עדכונים	Updates
לבדוק עדכונים בכל הפעלה	Check for updates at every start
בדיקת עדכונים עכשיו	Check for updates now
הבדיקה לא שולחת שום מידע - רק שואלת אם יש גרסה חדשה	The check sends no information - it only asks whether there's a new version
נבדק לאחרונה: {0} · לא נשלח שום מידע	Last checked: {0} · no information was sent
אחסון	Storage
מחיקת המנוע	Delete the engine
מחיקת המילון	Delete the dictionary
איפוס הגדרות	Reset settings
למחוק את המילון?	Delete the dictionary?
בדיקת האיות תפסיק לעבוד עד שהמילון יורד שוב ({0}). המילים שהוספתם למילון האישי נשמרות.	Spell check will stop working until the dictionary is downloaded again ({0}). The words you added to your own dictionary are kept.
למחוק	Delete
לא נמחק	Not deleted
מוגדר · הדגם שבשימוש: {0}	Set · model in use: {0}
לא מוגדר · בלעדיו אין תרגום ואין עוזר	Not set · without it there's no translation and no assistant
לא מוגדר · נותן עד 8 שעות תמלול ביום, בחינם	Not set · gives up to 8 hours of transcription a day, free
מוגדר · עד 8 שעות תמלול ביום	Set · up to 8 hours of transcription a day
המילון עוד לא הורד. הוא חינמי, ואחרי ההורדה הבדיקה עובדת בלי אינטרנט.	Not downloaded yet. It's free, and then the check works offline.
המילון מוכן. הוא מכיר גם ארמית, ראשי תיבות ומספרים באותיות.	Ready. It also knows Aramaic, abbreviations and numbers in letters.
המילון מותקן, והבדיקה כבויה.	The dictionary is installed, and the check is off.
מילון האיות · {0}	Spelling dictionary · {0}
מנוע הווידאו · ייפרס בהפעלה הבאה	Video engine · will be set up at the next start
מנוע הווידאו · מותקן במחשב: {0}	Video engine · installed on this computer: {0}
מנוע הווידאו · {0}	Video engine · {0}
להחזיר את ההגדרות לברירת המחדל?	Reset the settings to their defaults?
הערכה, עוצמת הקול, מהירות ההשמעה, עיצוב הכתוביות ורשימת הקבצים האחרונים יחזרו למצב ההתחלתי. הכתוביות הפתוחות, המפתחות והמילון לא ייגעו.	The theme, volume, playback speed, subtitle style and recent files list will go back to how they started. Open subtitles, keys and the dictionary won't be touched.
להחזיר	Reset
ההגדרות אופסו	Settings were reset
הכול חזר לברירת המחדל.	Everything is back to the defaults.
אישור	OK

# ---- DlgSpell.cs ----
מסמנת מילים שאולי כתובות לא נכון	Marks words that may be misspelled
מה צריך	What's needed
בשביל זה צריך מילון עברי. הוא חינמי, שוקל {0}, ויורד פעם אחת. אחרי זה הבדיקה עובדת בלי אינטרנט.	This needs a Hebrew dictionary. It's free, weighs {0}, and is downloaded once. After that the check works offline.
איך זה עובד	How it works
מילה חשודה מסומנת ברשימת הכתוביות. קליק ימני על השורה מציע תיקון, או להוסיף את המילה למילון.	A suspicious word is marked in the subtitle list. Right-click the row to get a fix, or to add the word to the dictionary.
המילון מכיר גם ארמית של הגמרא, ראשי תיבות, שמות חכמים ומספרים באותיות.	The dictionary also knows Talmudic Aramaic, abbreviations, names of sages and numbers written in letters.
להוריד את המילון	Download the dictionary
מוריד…	Downloading…
מוריד… {0} מתוך {1}	Downloading… {0} of {1}
ההורדה לא הצליחה.	The download failed.

# ---- DlgSync.cs ----
סנכרון לפי הסרט	Sync to the video
כדי לסנכרן צריך לבחור כתובית אחת	To sync, choose one subtitle
1. בחרו ברשימה כתובית שאתם מזהים בסרט.	1. In the list, choose a subtitle you recognise in the video.
2. נגנו את הסרט ועצרו בדיוק ברגע שהמשפט נשמע.	2. Play the video and stop exactly when the sentence is heard.
3. פתחו שוב את החלון הזה - אני אחשב את ההפרש ואציע לתקן.	3. Open this window again - I'll work out the difference and offer a fix.
הבנתי	Got it
משווים בין הכתובית שבחרתם למקום שבו הסרט נמצא עכשיו	Compares the subtitle you chose with where the video is now
מה לעשות?	What to do?
להזיז את כל הכתוביות	Shift all the subtitles
{0} · מתאים כשכל הקובץ מוסט באותה מידה	{0} · right when the whole file is off by the same amount
רק מהכתובית הזאת והלאה	Only from this subtitle on
כשהתקלה מתחילה באמצע הסרט	When the problem starts in the middle of the video
רק את הכתובית הזאת	Only this subtitle
תיקון נקודתי	A one-off fix
הפער גדל לאורך הסרט?	Does the gap grow along the video?
נקודה ראשונה שמורה:  {0}\r\nעכשיו לחצו ״מתיחה״ ואתקן את כל הסרט לפי שתי הנקודות.	First point saved:  {0}\r\nNow click “Stretch” and I'll fix the whole video by the two points.
לפעמים הכתוביות מדויקות בהתחלה ובורחות בהמשך.	Sometimes the subtitles are right at the start and drift later on.
שמרו נקודה כאן, עברו לכתובית בסוף הסרט, וחזרו לחלון הזה.	Save a point here, go to a subtitle near the end of the video, and come back to this window.
החלפת הנקודה הראשונה בנוכחית	Replace the first point with this one
שמירת הנקודה הזאת כנקודה ראשונה	Save this point as the first point
הנקודה נשמרה	The point was saved
עכשיו נגנו עד כתובית אחרת בסוף הסרט, עצרו במקום הנכון, ופתחו שוב את החלון.	Now play up to another subtitle near the end of the video, stop at the right place, and open this window again.
מתיחה לפי שתי הנקודות	Stretch by the two points
המרת קצב פריימים (למי שיודע מה זה)	Convert frame rate (for those who know what it is)
הכתובית כבר בדיוק במקום	The subtitle is already exactly in place
הזזה של {0} שניות {1}	Shift by {0} seconds {1}
אין מה לתקן	Nothing to fix
הכתובית כבר מתחילה בדיוק במקום שבו הסרט נמצא.	The subtitle already starts exactly where the video is.
סנכרון	Sync
הנקודות קרובות מדי	The points are too close
בחרו כתובית רחוקה יותר מהנקודה הראשונה.	Choose a subtitle further from the first point.
כתובית {0}{1}	Subtitle {0}{1}
אין הפרש	No difference
{0} שניות	{0} seconds
הכתובית מדויקת	The subtitle is right on time
הכתובית מופיעה מוקדם מדי	The subtitle appears too early
הכתובית מופיעה מאוחר מדי	The subtitle appears too late
הכתובית	Subtitle
הסרט	Video
המרת קצב פריימים	Convert frame rate
כשהכתוביות נעשו לגרסה בקצב אחר	For subtitles timed to a different frame rate
הכתוביות נעשו בקצב	The subtitles were made at
הסרט שלכם בקצב	Your video runs at
אם אתם לא בטוחים - עדיף להשתמש בסנכרון לפי הסרט.	If you're not sure, it's better to use Sync to the video.
להמיר	Convert
אותו קצב	Same rate
בחרו שני קצבים שונים.	Choose two different rates.
המרת קצב	Frame rate conversion

# ---- DlgTools.cs ----
כל הקבצים|*.*	All files|*.*
 - חדש	 - new
הקובץ כבר קטן מהגודל הזה ({0}). כדי להקטין אותו באמת - לבחור גודל קטן יותר.	The file is already smaller than this size ({0}). To really make it smaller, choose a smaller size.
הגודל הזה קטן מדי לסרט באורך {0} - התוצאה תהיה מטושטשת מאוד. כדאי לבחור גודל גדול יותר או לחתוך קטע.	This size is too small for a video {0} long - the result will be very blurry. Choose a bigger size or trim a section.
איכות מתוכננת: {0} מגהביט לשנייה	Planned quality: {0} Mbit/s
 + קול {0}k	 + audio {0}k
  ·  הרזולוציה תרד ל-{0}p כדי לשמור על תמונה חדה	  ·  the resolution will drop to {0}p to keep the picture sharp
  ·  הרזולוציה נשארת {0}p	  ·  the resolution stays {0}p
קול	Audio
שינוי עוצמת השמע	Change the volume
להגביר סרט חלש או להנמיך סרט צורם - בלי לפגוע בווידאו	Make a quiet video louder or a harsh one softer - without touching the picture
כמה להגביר? (מינוס = להנמיך)	How much louder? (minus = softer)
 - עוצמה	 - volume
איזון עוצמה אוטומטי	Automatic volume levelling
מיישר את ההבדלים בין קטעים חלשים לחזקים (נרמול שידור)	Evens out the difference between quiet and loud parts (broadcast normalisation)
 - מאוזן	 - levelled
חילוץ הפסקול לקובץ אודיו	Extract the soundtrack to an audio file
שומר את הקול בלבד - נוח לתמלול או להאזנה	Saves the audio only - handy for transcribing or listening
MP3 באיכות מרבית (נפוץ)	MP3 at the highest quality (common)
WAV - ללא דחיסה כלל	WAV - no compression at all
M4A (AAC) באיכות מרבית	M4A (AAC) at the highest quality
סוג הקובץ	File type
 - אודיו	 - audio
הסרת הקול מהסרט	Remove the audio from the video
משאיר את הווידאו בלי פסקול, בלי לקודד מחדש	Keeps the video without a soundtrack, without re-encoding
 - בלי קול	 - no audio
החלפת הפסקול	Replace the soundtrack
מדביק קובץ קול אחר (הקלטה, מוזיקה, דיבוב) על הווידאו	Puts a different audio file (a recording, music, a dub) over the video
קובץ הקול החדש	The new audio file
קבצי אודיו|*.mp3;*.wav;*.m4a;*.aac;*.flac;*.ogg|כל הקבצים|*.*	Audio files|*.mp3;*.wav;*.m4a;*.aac;*.flac;*.ogg|All files|*.*
 - פסקול חדש	 - new soundtrack
וידאו	Video
המרת פורמט	Convert format
MP4 לתאימות מרבית, או MKV מהיר בלי קידוד מחדש	MP4 for the widest support, or a fast MKV without re-encoding
MP4 - תאימות מרבית, איכות מקסימלית	MP4 - widest support, highest quality
MKV - מהיר, בלי קידוד מחדש כלל	MKV - fast, no re-encoding at all
MP4 מהיר - העתקת זרם בלי קידוד	Fast MP4 - stream copy without encoding
פורמט היעד	Output format
 - מומר	 - converted
שינוי רזולוציה	Change resolution
מקטין את התמונה - באיכות הכי גבוהה שאפשר ברזולוציה שנבחרה	Makes the picture smaller - at the highest quality possible for the chosen resolution
גובה התמונה	Picture height
 - מוקטן	 - smaller
דחיסה - הקטנת נפח הקובץ	Compress - make the file smaller
ערך גבוה = קובץ קטן יותר ואיכות נמוכה יותר	Higher value = smaller file and lower quality
רמת דחיסה	Compression level
 - דחוס	 - compressed
שינוי מהירות	Change speed
להאיץ הרצאה או להאט קטע מהיר (הקול נשאר תקין)	Speed up a lecture or slow down a fast part (the audio stays natural)
מהירות	Speed
 - מהירות	 - speed
סיבוב הווידאו	Rotate the video
לתיקון סרטון שצולם בטלפון והתהפך	To fix a phone video that came out sideways
90° עם כיוון השעון	90° clockwise
90° נגד כיוון השעון	90° counter-clockwise
היפוך מראה	Mirror
כיוון	Direction
 - מסובב	 - rotated
לשיתוף	For sharing
שמירת התמונה שעל המסך	Save the picture on screen
לוכד את הפריים שבו נמצא הסמן כרגע כקובץ תמונה	Captures the frame at the cursor as an image file
 - תמונה	 - picture
דהייה בהתחלה ובסוף	Fade in and out
פתיחה וסגירה רכות מתוך שחור - נראה הרבה יותר מקצועי	A soft open and close from black - looks far more professional
 שנ׳	 sec
אורך הדהייה	Fade length
 - עם דהייה	 - faded
הכנה לשליחה בוואטסאפ	Prepare for messaging apps
מקטין ל-720p בתאימות מלאה לטלפונים - קובץ קטן שנפתח בכל מקום	Shrinks to 720p, fully phone compatible - a small file that opens anywhere
 - לוואטסאפ	 - for phones
בחירת ערוץ שמע	Choose an audio track
לסרטים עם כמה שפות - משאיר רק את הערוץ שבחרתם	For videos with several languages - keeps only the track you choose
איזה ערוץ שמע להשאיר	Which audio track to keep
 - ערוץ נבחר	 - chosen track
 · מונו	 · mono
 · סטריאו	 · stereo
ערוץ {0} · {1}{2}{3}	Track {0} · {1}{2}{3}
אין ערוצי שמע בקובץ	There are no audio tracks in the file
חיבור שני סרטים	Join two videos
מדביק סרט נוסף בסוף הסרט הנוכחי	Adds another video at the end of this one
הסרט שיתחבר בסוף	The video to add at the end
קובצי וידאו|*.mp4;*.mkv;*.avi;*.mov;*.webm;*.m4v|כל הקבצים|*.*	Video files|*.mp4;*.mkv;*.avi;*.mov;*.webm;*.m4v|All files|*.*
 - מחובר	 - joined
ניקוי רעש רקע מהקול	Remove background noise from the audio
מוריד רחש קבוע מהקלטות - שימושי בהקלטות מהטלפון	Takes out a steady hiss from recordings - useful for phone recordings
עוצמת הניקוי	Cleaning strength
 - נקי	 - clean
היפוך לאחור (ריוורס)	Play backwards (reverse)
מריץ את הסרט מהסוף להתחלה	Runs the video from the end to the start
מה להפוך	What to reverse
את התמונה ואת הקול	The picture and the sound
רק את התמונה (הקול נשאר רגיל)	Only the picture (the sound plays normally)
רק את הקול	Only the sound
 - הפוך	 - reversed
ההיפוך טוען את כל הקטע לזיכרון, אז עדיף על קטעים קצרים.	Reversing loads the whole section into memory, so it's best for short sections.
שימו לב: קטע של {0} ידרוש הרבה זיכרון. כדאי לסמן קטע על הציר ולהפוך רק אותו.	Note: a {0} section will need a lot of memory. Mark a section on the timeline and reverse only that.
התאמה לגודל קובץ מבוקש	Fit a file size
"שייכנס ל-200MB" - התוכנה מחשבת את האיכות הכי טובה שנכנסת בגודל הזה	"Fit in 200MB" - the program finds the best quality that fits
לאיזה גודל להגיע	Target size
מעבר ראשון - ניתוח	First pass - analysis
מעבר שני - קידוד	Second pass - encoding
יצירת GIF מהקטע המסומן	Make a GIF from the marked section
ממיר את הטווח שסימנתם על הציר לאנימציה קצרה	Turns the range you marked on the timeline into a short animation
כלים לסרט ולקול	Video and audio tools
לא זמין - אין ערוץ וידאו בקובץ	Not available - the file has no video track
יעבוד על הטווח המסומן: {0} – {1}	Will work on the marked range: {0} – {1}
לא סומן טווח על הציר - הפעולה תרוץ על כל הקובץ.	No range is marked on the timeline - the action will run on the whole file.
בחרו קובץ	Choose a file
הפעלה	Run
חסר קובץ	File missing
בחרו את הקובץ הנדרש לפעולה.	Choose the file this action needs.
אי אפשר לכתוב על קובץ המקור.	The source file can't be overwritten.

# ---- DlgTranscribe.cs ----
תמלול אוטומטי	Automatic transcription
התוכנה מקשיבה לסרט וכותבת את הכתוביות	The program listens to the video and writes the subtitles
איפה לתמלל	Where to transcribe
גוגל	Google
המפתח שכבר יש לכם · מכסה קטנה	Your existing key · small quota
עד 8 שעות ביום · מפתח חינמי נפרד	8 hours a day · separate free key
לפני שמתחילים	Before you start
זו הפעולה היחידה בתוכנה ששולחת את התוכן עצמו החוצה. אם ההקלטה רגישה, עדיף לתמלל ידנית - זה עובד בלי אינטרנט.\r\nהתוצאה נכנסת לעורך כמו כל כתובית, וכדאי לעבור עליה ולתקן.	This is the only action in the program that sends the content itself out. If the recording is sensitive, it's better to transcribe by hand - that works offline.\r\nThe result comes into the editor like any subtitle, so go over it and fix it.
הקובץ	The file
למחוק את הכתוביות הקיימות ולהתחיל מחדש	Delete the current subtitles and start over
אם לא - הכתוביות החדשות יתווספו לקיימות.	If not, the new subtitles are added to the current ones.
למשל: שיעור בגמרא · הרצאה רפואית · ראיון	For example: a Talmud class · a medical lecture · an interview
עוזר לזהות שמות ומונחים נכון.	Helps get names and terms right.
להתחיל בתמלול	Start transcribing
החלפת המפתח של {0}	Change the {0} key
{0} - מפתח חינמי, פעם אחת	{0} - a free key, once
חיבור ל	Connect to
הקול מהסרט יישלח ל	The audio from the video will be sent to
אורך: {0}\r\n{1}אפשר לעצור באמצע, ומה שכבר תומלל יישמר.	Length: {0}\r\n{1}You can stop in the middle, and what's already transcribed is kept.
לוקח בערך דקה. 	Takes about a minute. 
לוקח בערך {0} דקות. 	Takes about {0} minutes. 
אין סרט	No video
צריך לפתוח קודם סרט או קובץ קול.	Open a video or an audio file first.
נכנסים לאתר של Groq	Go to the Groq website
הכפתור למטה פותח אותו. אפשר להירשם עם חשבון גוגל.	The button below opens it. You can sign up with a Google account.
לוחצים ״Create API Key״	Click “Create API Key”
מקבלים מחרוזת ארוכה שמתחילה ב-{0}. בלי כרטיס אשראי.	You get a long string that starts with {0}. No credit card.
חיבור ל-Groq	Connect to Groq
תמלול של עד 8 שעות הקלטה ביום, בחינם	Transcription of up to 8 hours of recording a day, free
פתיחת האתר של Groq	Open the Groq website
הקול נשלח לשרתים של Groq לצורך התמלול בלבד. אל תשתמשו בזה על הקלטות רגישות.	The audio is sent to Groq's servers for transcription only. Don't use this for sensitive recordings.
מתמלל...	Transcribing...
מתחיל…	Starting…
אפשר לעצור בכל רגע - מה שכבר תומלל יישאר.	You can stop at any moment - what's already transcribed stays.
עצירה	Stop
עוצר…	Stopping…

# ---- DlgUpdate.cs ----
יש גרסה חדשה: {0}	A new version is out: {0}
הגרסה שלכם היא {0}	Your version is {0}
אפשר לעדכן עכשיו - זה לוקח כמה שניות, והתוכנה תיסגר ותיפתח מחדש לבד.	You can update now - it takes a few seconds, and the program will close and reopen by itself.
לעדכן עכשיו	Update now
אחר כך	Later
היומן המלא	Full changelog
ובנוסף	And also
אין פרטים על השחרור הזה.	There are no details about this release.

# ---- ErrorText.cs ----
מנוע הווידאו לא הצליח לעבד את הקובץ. הפרטים המלאים ביומן.	The video engine couldn't process the file. The full details are in the log.
מנוע הווידאו לא הצליח לעבד את הקובץ.{0}	The video engine couldn't process the file.{0}
אין מספיק מקום בכונן. פנו מקום, או שמרו לכונן אחר.	There isn't enough space on the drive. Free some space, or save to another drive.
הכונן לא מקבל קובץ גדול כל כך. בהרבה דיסק-און-קי המגבלה היא {0}. שמרו לכונן אחר.	The drive doesn't accept a file this big. On many USB sticks the limit is {0}. Save to another drive.
אין מספיק זיכרון פנוי. סגרו תוכנות אחרות ונסו שוב.	There isn't enough free memory. Close other programs and try again.
קובץ הכתוביות הזמני לא נפתח. נסו שוב, ואם זה חוזר - הפעילו את התוכנה מחדש.	The temporary subtitle file didn't open. Try again, and if it happens again, restart the program.
מנוע הווידאו שבשימוש חסר רכיב שהפעולה צריכה{0}. אם הונח ליד התוכנה קובץ {1} אחר - הסירו אותו, ולתוכנה יש מנוע משלה.	The video engine in use is missing a part this action needs{0}. If another {1} was placed next to the program, remove it - the program has its own engine.
בקובץ אין את מה שהפעולה צריכה - למשל אין בו פס קול, או שאין בו כתוביות.	The file doesn't have what this action needs - for example, it has no audio track, or no subtitles.
הקובץ לא נמצא. אולי הוא הועבר, נמחק, או שהכונן נותק.	The file wasn't found. Maybe it was moved, deleted, or the drive was disconnected.
אין הרשאה לקרוא את הקובץ. אולי הוא פתוח בתוכנה אחרת.	No permission to read the file. Maybe it's open in another program.
הקובץ פגום או לא שלם. אם ההקלטה נקטעה או שההורדה לא הסתיימה - נסו להשיג אותו שוב.	The file is damaged or incomplete. If the recording was cut off or the download didn't finish, try to get it again.
הקובץ פגום, או שזה לא קובץ וידאו או קול.	The file is damaged, or it isn't a video or audio file.
אי אפשר לשמור שם. אולי קובץ בשם הזה פתוח בתוכנה אחרת (למשל בנגן), או שהתיקייה מוגנת. סגרו אותו, או בחרו מקום אחר.	Can't save there. Maybe a file with this name is open in another program (a player, for example), or the folder is protected. Close it, or choose another place.
התיקייה שנבחרה לשמירה לא קיימת. אולי הכונן נותק.	The folder chosen for saving doesn't exist. Maybe the drive was disconnected.
סוג הקובץ שנבחר לא מתאים לתוכן הזה. נסו לשמור כ-{0} או כ-{1}.	The chosen file type doesn't suit this content. Try saving as {0} or {1}.
מנוע הווידאו לא נמצא. הפעילו את התוכנה מחדש, והיא תכין אותו שוב.	The video engine wasn't found. Restart the program, and it will set it up again.
הפעולה לא הצליחה.	The action didn't succeed.
אין הרשאה לכתוב לשם. אולי הקובץ מסומן לקריאה בלבד, או שהתיקייה מוגנת. נסו לשמור במסמכים או בשולחן העבודה.	No permission to write there. Maybe the file is read-only, or the folder is protected. Try saving to Documents or the Desktop.
הנתיב ארוך מדי. שמרו בתיקייה עם נתיב קצר יותר, למשל בשולחן העבודה.	The path is too long. Save to a folder with a shorter path, such as the Desktop.
התיקייה לא קיימת. אולי היא נמחקה, או שהכונן נותק.	The folder doesn't exist. Maybe it was deleted, or the drive was disconnected.
הקובץ לא נמצא. אולי הוא הועבר או נמחק.	The file wasn't found. Maybe it was moved or deleted.
הכונן לא נמצא. אולי הוא נותק.	The drive wasn't found. Maybe it was disconnected.
הקובץ פתוח בתוכנה אחרת. סגרו אותה ונסו שוב.	The file is open in another program. Close it and try again.
הכונן לא מוכן. אולי הדיסק-און-קי נותק.	The drive isn't ready. Maybe the USB stick was disconnected.
כונן הרשת לא זמין כרגע.	The network drive isn't available right now.
הכונן מוגן מפני כתיבה.	The drive is write-protected.
הקובץ לא נמצא. אולי הוא נמחק, או שתוכנת אבטחה העבירה אותו להסגר.	The file wasn't found. Maybe it was deleted, or security software quarantined it.
אין הרשאה להפעיל את הקובץ. ייתכן שתוכנת אבטחה חוסמת אותו.	No permission to run the file. Security software may be blocking it.
תוכנת האבטחה חסמה את הקובץ.	Security software blocked the file.
ההפעלה בוטלה.	The launch was cancelled.
נראה שסינון האינטרנט חסם את ההורדה. אפשר לבקש מהסינון לאשר את האתר {0}, ולנסות שוב.	It looks like an internet filter blocked the download. You can ask the filter to allow {0}, and try again.
השרת לא זמין כרגע ({0}). אפשר לנסות שוב בעוד כמה דקות.	The server isn't available right now ({0}). You can try again in a few minutes.
החיבור המאובטח נחסם. ייתכן שסינון האינטרנט חוסם את האתר.	The secure connection was blocked. An internet filter may be blocking the site.
החיבור איטי מדי, וההורדה לא הסתיימה. אפשר לנסות שוב.	The connection is too slow, and the download didn't finish. You can try again.
החיבור נותק באמצע. אפשר לנסות שוב.	The connection dropped in the middle. You can try again.
אין חיבור לאינטרנט, או שהאתר חסום ברשת הזאת.	No internet connection, or the site is blocked on this network.

# ---- Ff.cs ----
אודיו	Audio
כתוביות	Subtitles
 ערוצים	 channels
 · ברירת מחדל	 · default
מעבד...	Working...
שלב {0} מתוך {1}  ·  {2}	Step {0} of {1}  ·  {2}
בוטל	Cancelled
 מתוך {0}	 of {0}
   (מהירות ×{0})	   (speed ×{0})

# ---- Formats.cs ----
Windows-1255 (עברית)	Windows-1255 (Hebrew)
Windows-1256 (ערבית)	Windows-1256 (Arabic)
Windows-1251 (קירילית)	Windows-1251 (Cyrillic)
Windows-1253 (יוונית)	Windows-1253 (Greek)
Windows-1250 (מרכז אירופה)	Windows-1250 (Central European)
Windows-1254 (טורקית)	Windows-1254 (Turkish)
; נוצר ב-Subtext\r\n	; Made with Subtext\r\n
מספר הבלוקים בקובץ ({0}) שונה ממספר הכתוביות ({1}). הותאם לפי הסדר.	The number of blocks in the file ({0}) differs from the number of subtitles ({1}). They were matched in order.
עודכנו {0} מתוך {1} כתוביות.	Updated {0} of {1} subtitles.

# ---- Hero.cs ----
גרירה לחלון או ״עיון בקבצים״	Drag it in, or click Browse
כותבים כתוביות	Write the subtitles
או טוענים קובץ כתוביות קיים	Or load a subtitle file you already have
שומרים סרט חדש	Save a new video
עם הכתוביות בפנים, מוכן לשליחה	Subtitles inside, ready to send
עיון בקבצים	Browse
קובץ כתוביות	Subtitle file
איך עובדים כאן - מדריך קצר וקיצורי מקלדת (F1)	How this works - a short guide and the shortcuts (F1)
מעבר למצב בהיר	Switch to light mode
מעבר למצב כהה	Switch to dark mode
על התוכנה, מנוע הווידאו ועדכונים	About, video engine and updates
אולפן הכתוביות · ליצור, לתקן ולהטמיע כתוביות בעברית	Create, fix and embed subtitles in any video
גררו לכאן סרט או קובץ כתוביות	Drop a video or a subtitle file here
נפתחו לאחרונה	Recent files
· הקובץ לא נמצא	· file not found

# ---- MainForm.cs ----
לא נמצא FFmpeg	FFmpeg not found
הקובץ ffmpeg.exe צריך לשבת בתיקייה tools שליד התוכנה.\nבלעדיו אי אפשר לפתוח סרטים.	ffmpeg.exe has to be in the tools folder next to the program.\nWithout it, videos can't be opened.
לשמור את השינויים בפרויקט לפני היציאה?	Save the changes to the project before closing?
יש {0} שורות שעוד לא תוזמנו. כדי שאפשר יהיה להמשיך לתזמן אותן אחר כך, העבודה תישמר כפרויקט.	There are {0} lines that aren't timed yet. So you can go on timing them later, the work will be saved as a project.
לשמור את קובץ הכתוביות לפני היציאה?	Save the subtitle file before closing?
יש שינויים שלא נשמרו	There are unsaved changes
לשמור כפרויקט	Save as a project
לשמור	Save
לצאת בלי לשמור	Close without saving
פתיחה	Open
פתיחת סרט, קובץ קול או קובץ כתוביות (Ctrl+O)	Open a video, an audio file or a subtitle file (Ctrl+O)
אפשר גם פשוט לגרור קובץ לחלון	You can also just drag a file into the window
שמירת קובץ הכתוביות למחשב (Ctrl+S)	Save the subtitle file to the computer (Ctrl+S)
תזמון, סנכרון, תרגום ועיצוב הכתוביות	Timing, sync, translation and style of the subtitles
חיתוך קטע, המרה, עוצמת שמע ופרטי הקובץ	Trim a section, convert, volume and file details
ביטול הפעולה האחרונה (Ctrl+Z)	Undo the last action (Ctrl+Z)
ביצוע מחדש (Ctrl+Y)	Redo (Ctrl+Y)
עוזר AI - לבקש פעולות במילים רגילות (Ctrl+K)	AI assistant - ask for actions in plain words (Ctrl+K)
מעבר בין מצב כהה לבהיר	Switch between dark and light mode
הגדרות התוכנה (Ctrl+,)	Program settings (Ctrl+,)
על התוכנה, הגרסה והרישיון	About the program, the version and the licence
יצירת סרט עם כתוביות	Make a video with subtitles
יוצר קובץ וידאו חדש עם הכתוביות. הסרט המקורי לא משתנה. (F5)	Makes a new video file with the subtitles. The original video isn't changed. (F5)
קובץ	File
סוגר את הסרט והכתוביות וחוזר למסך הפתיחה (Ctrl+N)	Closes the video and subtitles, back to the start (Ctrl+N)
שמירת הפרויקט	Save the project
הסרט, הכתוביות והעיצוב בקובץ אחד - כדי להמשיך אחר כך	The video, the subtitles and the style in one file - to go on later
לקפוץ לכתובית שמכילה מילה (Ctrl+F)	Jump to a subtitle containing a word (Ctrl+F)
מחיקת כל הכתוביות	Delete all subtitles
מרוקן את הרשימה; הסרט נשאר פתוח	Empties the list; the video stays open
הבאת כתוביות	Get subtitles
תמלול אוטומטי של הסרט	Transcribe the video automatically
התוכנה מקשיבה וכותבת לבד · הקול נשלח לתמלול באינטרנט	Listens and writes the subtitles · the audio is sent online
יצירת כתוביות מטקסט	Make subtitles from text
מדביקים טקסט - התוכנה מחלקת ומתזמנת לבד	Paste text - the program splits and times it by itself
שליפת כתוביות מהסרט	Extract subtitles from the video
מוציא ערוץ כתוביות שכבר קיים בקובץ	Takes out a subtitle track that's already in the file
תזמון	Timing
כשהכתוביות מקדימות או מאחרות באופן קבוע	When the subtitles are always early or late
בוחרים כתובית, עוצרים איפה שהיא נשמעת - ואני מתקן	Choose a subtitle, stop where it's heard - and I'll fix it
תזמון אוטומטי לפי הדיבור	Automatic timing by speech
מחלק את הטקסט לפי השתיקות בסרט · בלי אינטרנט	Splits the text by the pauses in the video · offline
הצמדה למעברי סצנה	Snap to scene changes
כתובית לא תתחיל רגע אחרי שהתמונה מתחלפת · בלי אינטרנט	A subtitle won't start a moment after the picture changes · offline
טקסט ותרגום	Text and translation
תרגום אוטומטי עם AI	Automatic translation with AI
בוחרים שפה והכתוביות מתורגמות במקום - התזמונים נשמרים	Pick a language - translated in place, timing kept
ייצוא הטקסט לתרגום	Export the text for translation
יוצר קובץ טקסט ממוספר, בלי לגעת בתזמונים	Makes a numbered text file, without touching the timing
החזרת טקסט מתורגם	Bring back translated text
מחזיר את התרגום בדיוק לאותם תזמונים	Puts the translation back on exactly the same timing
להחליף מילה בכל הכתוביות בבת אחת	Replace a word in all the subtitles at once
גופן, גודל, צבע ומיקום על המסך	Font, size, colour and position on screen
עריכה	Editing
חיתוך קטע מהסרט	Trim a section of the video
שומר או מסיר את הקטע שסימנתם על הציר	Keeps or removes the section you marked on the timeline
